#This file is automatically generated by https://freetv.fun and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#freetv.fun does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://freetv.fun/app
#Generated on: 2026-04-03 03:00:02 UTC


#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#freetv.fun並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://freetv.fun/app
#生成時間: 2026-04-03 03:00:02 UTC


Africa,#genre#
Cinema TV Senegal[geo-blocked],https://t.freetv.fun/live/cinema-4.m3u8
DIASPORA24 ( Africa ) [geo-blocked],https://t.freetv.fun/live/diaspora-24.m3u8
Diaspora Ghana Television[geo-blocked],https://t.freetv.fun/live/rio-television.m3u8
GTV (GHANA)[geo-blocked],https://t.freetv.fun/live/lgtv.m3u8
Sudan TV[geo-blocked],https://t.freetv.fun/live/sundance-tv.m3u8
TVC News[geo-blocked],https://t.freetv.fun/live/tvc.m3u8
TVC News[geo-blocked],https://t.freetv.fun/live/tvc-1.m3u8
TVC News[geo-blocked],https://t.freetv.fun/live/tvc-news.m3u8
Albania,#genre#
Folk + Music TV[geo-blocked],https://t.freetv.fun/live/plus-tv.m3u8
KTV Kohavision Albania[geo-blocked],https://t.freetv.fun/live/kohavision.m3u8
RTV 21 HD Albania[geo-blocked],https://t.freetv.fun/live/rtv-21-albania.m3u8
RTV 21 HD Albania[geo-blocked],https://t.freetv.fun/live/rtv-1.m3u8
Tip TV[geo-blocked],https://t.freetv.fun/live/tptv.m3u8
Algeria,#genre#
Dzair TV[geo-blocked],https://t.freetv.fun/live/daai-tv-1.m3u8
Lindex TV[geo-blocked],https://t.freetv.fun/live/lex-tv.m3u8
Argentina,#genre#
America TV[geo-blocked],https://t.freetv.fun/live/voice-of-america-1.m3u8
America TV[geo-blocked],https://t.freetv.fun/live/racing-america.m3u8
America TV[geo-blocked],https://t.freetv.fun/live/outdoor-america.m3u8
America TV[geo-blocked],https://t.freetv.fun/live/voice-of-america-1.m3u8
America TV[geo-blocked],https://t.freetv.fun/live/ch-ng-naughty-america.m3u8
